timestamp,feed_weight_kg,motor_current_a,throughput_kgph,grinder_temp_c,moisture_pct,bag_count
2026-03-22 00:59:00,0.0,0.0,0,26.42,12.61,0
2026-03-22 01:59:00,0.0,0.33,0,24.31,12.61,0
2026-03-22 02:59:00,0.0,0.19,0,26.81,13.09,0
2026-03-22 03:59:00,0.0,0.18,0,26.47,12.94,0
2026-03-22 04:59:00,0.0,0.08,0,26.63,12.65,0
2026-03-22 05:59:00,0.0,0.12,0,26.62,12.78,0
2026-03-22 06:59:00,0.0,0.31,0,27.76,12.08,0
2026-03-22 07:59:00,0.0,0.49,0,27.78,12.51,0
2026-03-22 08:59:00,0.0,0.38,0,26.97,12.4,0
2026-03-22 09:59:00,0.0,0.44,0,27.12,12.67,0
2026-03-22 10:59:00,0.0,0.41,0,26.38,13.07,0
2026-03-22 11:59:00,0.0,0.27,0,25.33,12.34,0
2026-03-22 12:59:00,0.0,0.24,0,25.51,12.82,0
2026-03-22 13:59:00,0.0,0.32,0,26.42,12.76,0
2026-03-22 14:59:00,0.0,0.12,0,26.57,12.3,0
2026-03-22 15:59:00,0.0,0.17,0,28.05,12.59,0
2026-03-22 16:59:00,0.0,0.21,0,28.91,12.46,0
2026-03-22 17:59:00,0.0,0.54,0,27.41,12.81,0
2026-03-22 18:59:00,0.0,0.14,0,28.67,12.57,0
2026-03-22 19:59:00,0.0,0.0,0,27.3,12.71,0
2026-03-22 20:59:00,0.0,0.3,0,27.1,12.44,0
2026-03-22 21:59:00,0.0,0.0,0,27.51,12.49,0
2026-03-22 22:59:00,0.0,0.0,0,27.22,12.37,0
2026-03-22 23:59:00,0.0,0.07,0,30.38,12.72,0
2026-03-23 00:59:00,0.0,0.91,0,28.62,12.28,0
2026-03-23 01:59:00,0.0,0.24,0,28.17,12.73,0
2026-03-23 02:59:00,0.0,0.17,0,26.78,12.79,0
2026-03-23 03:59:00,0.0,0.0,0,27.99,12.86,0
2026-03-23 04:59:00,0.0,0.09,0,30.09,12.69,0
2026-03-23 05:59:00,0.0,0.51,0,28.27,12.52,0
2026-03-23 06:59:00,2500.55,74.99,2442.0,57.6,12.77,45
2026-03-23 07:59:00,4957.68,75.52,2461.1,68.26,12.73,95
2026-03-23 08:59:00,7351.71,75.71,2436.6,72.01,12.1,142
2026-03-23 09:59:00,7391.99,0.52,0,40.61,12.28,142
2026-03-23 10:59:00,7391.99,0.18,0,31.62,12.92,142
2026-03-23 11:59:00,8536.32,71.69,2328.9,48.03,12.56,169
2026-03-23 12:59:00,10793.96,70.69,2256.1,65.02,12.71,213
2026-03-23 13:59:00,13052.01,71.34,2190.3,69.06,13.1,255
2026-03-23 14:59:00,15299.18,72.19,2273.3,71.18,12.7,304
2026-03-23 15:59:00,17547.75,71.28,2225.0,73.5,12.51,344
2026-03-23 16:59:00,19807.12,71.47,2189.0,71.56,12.27,390
2026-03-23 17:59:00,22093.65,73.72,2262.7,71.21,12.6,432
2026-03-23 18:59:00,24393.95,75.0,2257.6,72.16,12.17,474
2026-03-23 19:59:00,26737.31,75.1,2349.3,72.16,12.28,526
2026-03-23 20:59:00,29147.62,75.74,2382.6,71.86,12.43,575
2026-03-23 21:59:00,31596.78,75.6,2456.4,72.52,12.9,622
2026-03-23 22:59:00,31637.05,0.8,0,42.04,12.52,622
2026-03-23 23:59:00,31637.05,0.34,0,34.0,12.35,622
2026-03-24 00:59:00,31637.05,0.0,0,29.73,12.46,622
2026-03-24 01:59:00,31637.05,0.5,0,28.96,12.24,622
2026-03-24 02:59:00,31637.05,0.48,0,29.21,12.16,622
2026-03-24 03:59:00,31637.05,0.84,0,29.6,12.49,622
2026-03-24 04:59:00,31637.05,0.41,0,30.02,12.5,622
2026-03-24 05:59:00,31637.05,0.33,0,28.44,12.69,622
2026-03-24 06:59:00,34142.89,75.64,2568.3,59.35,12.51,676
2026-03-24 07:59:00,36567.32,78.34,2432.3,67.31,12.31,723
2026-03-24 08:59:00,38973.23,76.82,2439.2,70.99,12.27,773
2026-03-24 09:59:00,41339.64,74.36,2373.0,70.85,13.0,820
2026-03-24 10:59:00,43666.12,74.29,2318.2,72.57,12.67,865
2026-03-24 11:59:00,45954.85,74.15,2236.9,73.87,12.25,913
2026-03-24 12:59:00,48221.0,72.89,2245.1,71.92,12.32,958
2026-03-24 13:59:00,50476.79,69.07,2221.8,73.54,12.34,996
2026-03-24 14:59:00,52715.02,73.14,2231.8,73.96,12.42,1043
2026-03-24 15:59:00,54969.36,69.96,2214.2,74.07,12.3,1091
2026-03-24 16:59:00,57217.34,74.5,2277.8,71.73,12.89,1129
2026-03-24 17:59:00,59506.25,72.89,2378.4,72.46,12.62,1174
2026-03-24 18:59:00,61814.65,72.29,2328.1,72.03,12.87,1221
2026-03-24 19:59:00,64180.51,78.69,2474.5,72.25,12.67,1268
2026-03-24 20:59:00,66587.8,76.52,2435.8,69.94,12.41,1316
2026-03-24 21:59:00,69018.31,78.72,2439.3,70.78,12.73,1364
2026-03-24 22:59:00,69058.93,0.62,0,40.11,12.41,1364
2026-03-24 23:59:00,69058.93,0.05,0,33.26,12.71,1364
2026-03-25 00:59:00,69058.93,0.3,0,31.88,12.49,1364
2026-03-25 01:59:00,69058.93,0.3,0,28.39,12.73,1364
2026-03-25 02:59:00,69058.93,0.28,0,28.07,12.43,1364
2026-03-25 03:59:00,69058.93,0.3,0,27.37,12.36,1364
2026-03-25 04:59:00,69058.93,0.21,0,25.61,12.6,1364
2026-03-25 05:59:00,69058.93,0.36,0,25.72,12.62,1364
2026-03-25 06:59:00,71563.3,77.56,2452.0,57.51,12.46,1417
2026-03-25 07:59:00,74006.44,74.52,2417.3,65.36,12.4,1469
2026-03-25 08:59:00,76401.74,74.48,2379.7,69.84,12.65,1521
2026-03-25 09:59:00,78775.15,75.06,2414.0,69.82,12.46,1565
2026-03-25 10:59:00,81099.86,75.85,2375.3,71.78,12.14,1610
2026-03-25 11:59:00,83381.99,69.83,2226.4,71.65,12.14,1652
2026-03-25 12:59:00,85642.61,72.17,2312.9,72.96,11.95,1697
2026-03-25 13:59:00,87899.77,71.59,2221.9,73.3,12.28,1737
2026-03-25 14:59:00,90146.26,72.3,2248.0,72.43,12.47,1787
2026-03-25 15:59:00,92398.79,73.05,2215.9,74.75,12.4,1833
2026-03-25 16:59:00,94661.36,71.23,2203.2,73.65,12.44,1876
2026-03-25 17:59:00,96944.19,71.0,2290.0,70.7,12.19,1923
2026-03-25 18:59:00,99269.05,73.18,2261.9,71.11,13.09,1965
2026-03-25 19:59:00,101628.11,74.53,2365.3,72.17,12.71,2016
2026-03-25 20:59:00,104016.59,73.58,2340.3,69.95,12.44,2064
2026-03-25 21:59:00,106464.42,76.85,2473.3,70.5,12.55,2112
2026-03-25 22:59:00,106504.86,0.0,0,44.96,12.58,2112
2026-03-25 23:59:00,106504.86,0.71,0,32.58,12.5,2112
2026-03-26 00:59:00,106504.86,0.39,0,30.04,12.79,2112
2026-03-26 01:59:00,106504.86,0.43,0,28.26,12.88,2112
2026-03-26 02:59:00,106504.86,0.3,0,24.65,12.92,2112
2026-03-26 03:59:00,106504.86,0.64,0,27.63,12.59,2112
2026-03-26 04:59:00,106504.86,0.48,0,27.1,12.52,2112
2026-03-26 05:59:00,106504.86,0.25,0,28.47,12.53,2112
2026-03-26 06:59:00,109010.73,77.63,2504.6,59.44,12.41,2164
2026-03-26 07:59:00,111452.77,79.43,2483.4,69.74,12.67,2213
2026-03-26 08:59:00,113835.03,72.79,2370.5,71.62,12.63,2261
2026-03-26 09:59:00,116198.18,75.38,2383.9,71.96,12.46,2305
2026-03-26 10:59:00,118522.89,76.39,2348.3,71.75,12.59,2351
2026-03-26 11:59:00,120806.06,72.02,2241.6,72.12,12.73,2400
2026-03-26 12:59:00,123073.76,70.65,2181.7,72.29,12.84,2446
2026-03-26 13:59:00,125323.71,71.37,2233.3,73.37,12.29,2489
2026-03-26 14:59:00,127552.26,73.13,2298.4,72.14,12.4,2534
2026-03-26 15:59:00,129799.99,71.86,2227.1,71.67,12.33,2581
2026-03-26 16:59:00,132049.96,71.48,2201.7,73.69,12.16,2622
2026-03-26 17:59:00,134339.83,72.5,2235.0,70.84,12.61,2665
2026-03-26 18:59:00,136667.27,73.63,2352.9,70.99,12.69,2711
2026-03-26 19:59:00,138991.49,74.65,2446.7,69.89,12.39,2756
2026-03-26 20:59:00,141387.67,77.48,2457.0,71.59,12.49,2806
2026-03-26 21:59:00,143840.89,75.37,2423.0,72.16,13.26,2855
2026-03-26 22:59:00,143880.9,0.03,0,42.45,12.99,2855
2026-03-26 23:59:00,143880.9,0.58,0,32.45,12.9,2855
2026-03-27 00:59:00,143880.9,0.82,0,30.75,12.37,2855
2026-03-27 01:59:00,143880.9,0.7,0,29.9,12.44,2855
2026-03-27 02:59:00,143880.9,0.28,0,27.64,12.19,2855
2026-03-27 03:59:00,143880.9,0.0,0,29.9,12.22,2855
2026-03-27 04:59:00,143880.9,0.39,0,29.56,12.71,2855
2026-03-27 05:59:00,143880.9,0.23,0,27.61,12.86,2855
2026-03-27 06:59:00,146384.84,74.11,2457.1,59.73,13.22,2905
2026-03-27 07:59:00,148830.82,75.46,2413.1,67.62,12.66,2949
2026-03-27 08:59:00,151228.79,75.23,2469.1,71.2,12.31,3001
2026-03-27 09:59:00,153591.29,73.72,2357.9,74.68,12.6,3047
2026-03-27 10:59:00,155920.73,71.04,2262.6,71.98,12.69,3092
2026-03-27 11:59:00,158211.04,72.87,2298.0,73.4,12.47,3137
2026-03-27 12:59:00,160470.31,74.68,2241.0,71.81,12.59,3177
2026-03-27 13:59:00,162731.16,73.62,2303.6,72.81,12.6,3219
2026-03-27 14:59:00,164984.38,73.62,2257.4,73.96,12.07,3268
2026-03-27 15:59:00,167241.18,72.94,2217.6,71.08,12.46,3312
2026-03-27 16:59:00,169491.04,72.21,2239.7,72.56,12.41,3360
2026-03-27 17:59:00,171782.95,74.15,2329.3,72.23,12.18,3405
2026-03-27 18:59:00,174106.0,73.3,2277.3,71.97,12.67,3453
2026-03-27 19:59:00,176464.28,74.1,2340.6,71.87,12.5,3499
2026-03-27 20:59:00,178863.33,73.69,2397.4,72.16,12.34,3546
